"original canceled date","resurrected canceled date","original created date","resurrected created date","original end date","resurrected end date","original next charge date","resurrected next charge date","original plan","resurrected plan",student_id,"original subscription id","resurrected subscription id","days to resurrection"
NULL,NULL,"2021-02-09 19:06:58","2021-02-12 16:15:47","2021-02-10 00:00:00","2022-02-21 00:00:00","2022-02-09 00:00:00","2022-02-12 00:00:00",annual,annual,144384,3317,3351,2
"2021-01-09 02:00:00","2021-03-22 00:00:00","2021-01-28 23:44:10","2021-02-12 17:20:20","2021-02-09 00:00:00","2022-03-12 00:00:00","2021-02-09 02:00:00","2022-03-12 00:00:00",monthly,annual,5974,331,3352,3
"2021-02-27 00:00:00","2021-08-28 00:00:00","2021-01-30 21:41:33","2021-03-06 12:51:15","2021-02-28 00:00:00","2021-09-06 00:00:00","2021-02-28 00:00:00","2021-09-06 00:00:00",monthly,annual,143523,3220,3564,6
NULL,NULL,"2021-02-24 13:40:17","2021-03-10 15:51:50","2021-03-01 00:00:00",NULL,"2022-02-24 00:00:00","2023-03-10 00:00:00",annual,annual,145524,3470,3605,9
"2021-02-28 00:00:00",NULL,"2021-01-28 23:44:53","2021-03-11 17:23:43","2021-03-09 00:00:00","2021-05-15 00:00:00","2021-03-09 00:00:00","2021-05-11 00:00:00",annual,monthly,6131,1448,3616,2
"2021-02-20 00:00:00",NULL,"2021-01-28 23:44:10","2021-03-16 17:30:30","2021-02-27 00:00:00",NULL,"2021-02-27 02:00:00","2023-03-16 00:00:00",monthly,annual,4537,460,3675,17
"2021-02-18 00:00:00","2022-03-17 00:00:00","2021-01-28 23:44:10","2021-03-17 16:16:41","2021-02-19 00:00:00","2022-03-17 00:00:00","2021-02-19 02:00:00","2022-03-17 00:00:00",monthly,annual,5971,148,3705,26
NULL,"2022-03-19 00:00:00","2021-02-09 23:13:01","2021-03-19 04:50:55","2021-03-13 00:00:00","2022-03-19 00:00:00","2021-03-09 00:00:00","2022-03-19 00:00:00",monthly,annual,144400,3319,3787,6
NULL,"2022-03-21 00:00:00","2021-01-28 23:46:34","2021-03-22 18:01:51","2021-02-18 00:00:00","2022-03-22 00:00:00","2021-02-09 02:00:00","2022-03-22 00:00:00",annual,annual,9101,3180,3826,32
NULL,"2021-04-28 00:00:00","2021-02-21 02:40:56","2021-03-28 10:52:40","2021-03-21 00:00:00","2021-04-28 00:00:00","2021-03-21 00:00:00","2021-04-28 00:00:00",monthly,monthly,5382,3423,3913,7
"2021-02-18 00:00:00","2021-11-30 00:00:00","2021-01-28 23:44:53","2021-03-30 18:51:18","2021-03-15 00:00:00","2021-12-30 00:00:00","2021-03-15 00:00:00","2021-12-30 00:00:00",monthly,monthly,2501,998,3925,15
"2021-02-15 00:00:00","2021-10-01 00:00:00","2021-02-15 18:25:01","2021-04-01 15:33:03","2021-03-15 00:00:00","2021-11-01 00:00:00","2021-03-15 00:00:00","2021-11-01 00:00:00",monthly,monthly,1994,3374,3940,17
NULL,NULL,"2021-02-24 09:02:14","2021-04-03 20:03:49","2021-03-28 00:00:00","2021-05-07 00:00:00","2021-03-24 00:00:00","2021-05-03 00:00:00",monthly,monthly,145386,3466,3962,6
"2020-04-15 03:00:00","2021-04-16 00:00:00","2021-01-28 23:46:06","2021-04-16 11:45:03","2021-04-14 00:00:00","2022-04-16 00:00:00","2021-04-15 03:00:00","2023-04-16 00:00:00",annual,annual,15345,2882,4052,2
"2021-04-15 00:00:00","2021-05-13 00:00:00","2021-03-30 23:52:18","2021-04-26 01:09:34","2021-04-20 00:00:00","2021-05-15 00:00:00","2021-04-30 00:00:00","2021-05-26 00:00:00",annual,annual,8855,3928,4122,6
NULL,NULL,"2021-01-28 23:46:06","2021-04-26 11:59:54","2021-04-23 00:00:00",NULL,"2021-04-14 03:00:00","2023-04-26 00:00:00",annual,annual,37860,2908,4123,3
NULL,"2021-06-21 00:00:00","2021-02-18 00:37:14","2021-04-26 18:25:24","2021-03-18 00:00:00","2021-06-26 00:00:00","2021-03-18 00:00:00","2021-06-26 00:00:00",monthly,monthly,18692,3404,4125,39
"2021-03-13 00:00:00","2021-04-27 00:00:00","2021-01-28 23:46:06","2021-04-27 08:57:25","2021-04-23 00:00:00","2021-05-27 00:00:00","2021-04-23 03:00:00","2021-05-27 00:00:00",annual,monthly,14915,2404,4131,4
NULL,NULL,"2021-01-28 23:46:06","2021-05-01 06:08:00","2021-04-27 00:00:00",NULL,"2021-04-18 03:00:00","2023-05-01 00:00:00",annual,annual,10131,2679,4153,4
"2021-02-20 00:00:00","2021-06-29 00:00:00","2021-01-28 23:44:10","2021-05-01 16:39:41","2021-02-21 00:00:00","2021-07-01 00:00:00","2021-02-21 00:00:00","2021-07-01 00:00:00",monthly,monthly,804,78,4158,69
"2021-04-20 00:00:00","2021-06-01 00:00:00","2021-01-28 23:46:06","2021-05-03 17:44:24","2021-04-22 00:00:00","2021-06-03 00:00:00","2021-04-22 03:00:00","2021-06-03 00:00:00",annual,monthly,3850,2445,4174,11
"2021-03-22 00:00:00",NULL,"2021-01-28 23:46:06","2021-05-04 04:00:48","2021-04-21 00:00:00",NULL,"2021-04-21 03:00:00","2023-05-04 00:00:00",annual,annual,14633,2549,4182,13
NULL,NULL,"2021-01-28 23:46:06","2021-05-11 21:49:49","2021-05-07 00:00:00",NULL,"2021-04-28 03:00:00","2023-05-11 00:00:00",annual,annual,9188,2093,4233,4
"2021-02-10 00:00:00","2022-05-16 00:00:00","2021-01-28 23:44:10","2021-05-16 05:57:17","2021-03-10 00:00:00","2022-05-17 00:00:00","2021-03-10 00:00:00","2023-05-16 00:00:00",monthly,annual,4132,328,4251,67
"2021-04-22 00:00:00","2022-04-07 00:00:00","2021-01-28 23:46:06","2021-05-17 07:43:00","2021-04-23 00:00:00","2022-05-17 00:00:00","2021-04-23 03:00:00","2022-05-17 00:00:00",annual,annual,2917,2374,4262,24
"2021-02-27 00:00:00","2021-05-21 00:00:00","2021-01-28 23:44:53","2021-05-17 08:26:04","2021-02-28 00:00:00","2021-06-17 00:00:00","2021-02-28 00:00:00","2021-06-17 00:00:00",monthly,monthly,2930,1093,4263,78
NULL,NULL,"2021-03-19 08:50:59","2021-05-24 01:06:33","2021-04-23 00:00:00","2022-08-28 00:00:00","2021-04-19 00:00:00","2022-08-24 00:00:00",monthly,annual,146625,3794,4303,31
"2021-04-19 00:00:00",NULL,"2021-01-28 23:46:06","2021-05-28 15:39:16","2021-04-21 00:00:00",NULL,"2021-04-21 03:00:00","2023-05-28 00:00:00",annual,annual,5334,2550,4369,37
"2020-02-02 02:00:00","2021-05-30 00:00:00","2021-01-28 23:46:34","2021-05-30 03:49:20","2021-02-01 00:00:00","2022-05-30 00:00:00","2021-02-02 02:00:00","2022-05-30 00:00:00",annual,annual,2851,3187,4398,118
"2021-05-31 00:00:00",NULL,"2021-04-29 20:56:08","2021-05-31 10:44:18","2021-05-29 00:00:00","2021-10-04 00:00:00","2021-05-29 00:00:00","2021-09-30 00:00:00",monthly,monthly,149617,4146,4446,2
"2021-03-15 00:00:00","2022-06-03 00:00:00","2021-01-28 23:46:06","2021-06-03 10:48:53","2021-04-15 00:00:00","2022-06-03 00:00:00","2021-04-15 03:00:00","2023-06-03 00:00:00",annual,annual,19005,2861,4552,49
NULL,"2022-09-23 00:00:00","2021-01-28 23:44:54","2021-06-25 02:10:31","2021-06-16 00:00:00","2022-09-25 00:00:00","2021-06-07 03:00:00","2022-09-25 00:00:00",annual,annual,9952,1932,4711,9
"2021-02-19 00:00:00","2021-11-18 00:00:00","2021-01-28 23:44:54","2021-06-27 14:06:55","2021-02-25 00:00:00","2021-11-27 00:00:00","2021-02-25 02:00:00","2021-11-27 00:00:00",monthly,monthly,6408,1976,4719,122
NULL,NULL,"2021-01-28 23:46:06","2021-06-29 03:03:37","2021-03-03 00:00:00","2021-08-02 00:00:00","2021-02-27 02:00:00","2021-07-29 00:00:00",monthly,monthly,3367,2216,4728,118
NULL,"2021-12-27 00:00:00","2021-01-28 23:44:53","2021-06-30 14:19:35","2021-06-25 00:00:00","2021-12-30 00:00:00","2021-06-21 00:00:00","2021-12-30 00:00:00",monthly,monthly,5791,1363,4737,5
NULL,NULL,"2021-03-02 20:36:58","2021-07-01 00:14:47","2021-06-06 00:00:00","2021-09-05 00:00:00","2021-06-02 00:00:00","2021-09-01 00:00:00",monthly,monthly,2943,3532,4739,25
NULL,NULL,"2021-01-28 23:44:54","2021-07-01 07:40:02","2021-06-26 00:00:00",NULL,"2021-06-17 03:00:00","2023-07-01 00:00:00",annual,annual,18868,1890,4742,5
NULL,NULL,"2021-04-11 10:34:14","2021-07-03 08:36:11","2021-06-15 00:00:00","2021-08-07 00:00:00","2021-06-11 00:00:00","2021-08-03 00:00:00",monthly,monthly,148901,4016,4751,18
"2021-05-27 00:00:00","2021-07-05 00:00:00","2021-05-26 18:20:35","2021-07-05 19:50:20","2021-06-01 00:00:00","2021-08-05 00:00:00","2022-05-26 00:00:00","2021-08-05 00:00:00",annual,monthly,156080,4333,4768,34
"2021-03-17 00:00:00","2021-11-13 00:00:00","2021-01-28 23:46:34","2021-07-13 21:27:01","2021-04-05 00:00:00","2021-12-13 00:00:00","2021-04-05 03:00:00","2021-12-13 00:00:00",annual,monthly,5684,3071,4825,99
"2020-07-08 03:00:00","2022-07-14 00:00:00","2021-01-28 23:44:54","2021-07-14 15:41:36","2021-07-08 00:00:00","2022-07-14 00:00:00","2021-07-08 03:00:00","2023-07-14 00:00:00",annual,annual,2324,1748,4829,6
"2021-06-04 00:00:00",NULL,"2021-03-17 12:02:03","2021-07-21 01:02:20","2021-06-09 00:00:00",NULL,"2022-05-17 00:00:00","2023-07-21 00:00:00",annual,annual,147005,3694,4890,42
"2021-04-27 00:00:00",NULL,"2021-01-28 23:46:06","2021-07-23 19:22:12","2021-04-28 00:00:00",NULL,"2021-04-28 03:00:00","2023-07-23 00:00:00",annual,annual,8018,2137,4927,86
"2021-05-03 00:00:00","2022-07-25 00:00:00","2021-05-01 23:12:15","2021-07-23 23:58:53","2021-06-01 00:00:00","2023-07-23 00:00:00","2021-06-01 00:00:00","2023-07-23 00:00:00",annual,annual,150819,4163,4934,52
NULL,NULL,"2021-01-28 23:44:54","2021-07-24 22:49:10","2021-06-10 00:00:00","2021-09-28 00:00:00","2021-06-01 03:00:00","2021-09-24 00:00:00",annual,monthly,3297,1958,4944,44
NULL,NULL,"2021-06-10 10:56:23","2021-07-26 21:27:06","2021-07-20 00:00:00","2021-08-30 00:00:00","2021-07-10 00:00:00","2021-08-26 00:00:00",monthly,monthly,157184,4625,4996,6
NULL,NULL,"2021-07-18 02:47:39","2021-07-28 13:58:46","2021-07-22 00:00:00","2022-07-28 00:00:00","2021-08-18 00:00:00","2023-10-28 00:00:00",monthly,annual,160452,4852,5023,6
"2021-07-20 00:00:00",NULL,"2021-06-23 19:56:23","2021-07-29 01:59:37","2021-07-23 00:00:00",NULL,"2021-07-23 00:00:00","2023-07-29 00:00:00",monthly,annual,8974,4702,5044,6
"2021-07-03 00:00:00",NULL,"2021-01-28 23:44:54","2021-07-29 02:47:40","2021-07-09 00:00:00",NULL,"2021-07-09 03:00:00","2023-07-29 00:00:00",annual,annual,5211,1704,5046,20
"2021-06-13 00:00:00","2021-08-11 00:00:00","2021-01-28 23:44:53","2021-07-30 04:29:16","2021-07-11 00:00:00","2021-08-30 00:00:00","2021-07-11 00:00:00","2021-08-30 00:00:00",monthly,monthly,11402,1152,5062,19
NULL,NULL,"2021-03-12 05:20:06","2021-07-31 02:50:55","2021-03-16 00:00:00","2021-08-02 00:00:00","2022-03-12 00:00:00","2022-07-31 00:00:00",annual,annual,146547,3620,5065,137
NULL,NULL,"2021-01-28 23:46:06","2021-08-02 17:00:46","2021-04-30 00:00:00","2022-08-11 00:00:00","2021-04-21 03:00:00","2022-08-02 00:00:00",annual,annual,2512,2543,5078,94
NULL,"2022-01-08 00:00:00","2021-06-01 07:29:31","2021-08-08 15:22:23","2021-08-05 00:00:00","2022-02-08 00:00:00","2021-08-01 00:00:00","2022-02-08 00:00:00",monthly,monthly,156561,4488,5119,3
NULL,"2022-08-17 00:00:00","2021-04-06 10:47:19","2021-08-12 15:25:54","2021-08-10 00:00:00","2023-08-12 00:00:00","2021-08-06 00:00:00","2023-08-12 00:00:00",annual,annual,148467,3979,5137,2
"2021-08-03 00:00:00","2021-10-04 00:00:00","2021-07-03 16:23:35","2021-08-16 17:42:39","2021-08-04 00:00:00","2021-10-16 00:00:00","2021-09-03 00:00:00","2021-10-16 00:00:00",monthly,monthly,159058,4752,5151,12
NULL,"2021-08-16 00:00:00","2021-07-05 20:28:08","2021-08-16 20:12:21","2021-08-09 00:00:00","2021-09-16 00:00:00","2021-08-05 00:00:00","2021-09-16 00:00:00",monthly,monthly,158315,4769,5152,7
"2021-01-14 02:00:00",NULL,"2021-01-28 23:46:34","2021-08-19 10:42:28","2021-02-13 00:00:00",NULL,"2021-02-13 02:00:00","2023-08-19 00:00:00",monthly,annual,6808,3139,5180,187
NULL,NULL,"2021-01-28 23:44:54","2021-08-23 14:25:28","2021-06-22 00:00:00","2022-09-01 00:00:00","2021-06-12 03:00:00","2022-08-23 00:00:00",annual,annual,17547,1911,5214,62
"2021-04-09 00:00:00",NULL,"2021-01-28 23:46:06","2021-08-23 14:44:23","2021-04-18 00:00:00",NULL,"2021-04-18 03:00:00","2023-08-23 00:00:00",annual,annual,709,2673,5215,127
"2021-02-20 00:00:00",NULL,"2021-01-28 23:44:10","2021-08-23 14:56:43","2021-03-03 00:00:00",NULL,"2021-03-03 00:00:00","2023-08-23 00:00:00",monthly,annual,1362,612,5216,173
NULL,NULL,"2021-01-28 23:46:06","2021-08-23 15:28:45","2021-05-01 00:00:00","2022-09-01 00:00:00","2021-04-22 03:00:00","2022-08-23 00:00:00",annual,annual,2295,2478,5218,114
"2021-07-28 00:00:00","2022-03-28 00:00:00","2021-01-28 23:44:53","2021-08-23 15:52:25","2021-08-18 00:00:00","2022-11-23 00:00:00","2021-08-18 03:00:00","2022-11-23 00:00:00",annual,annual,3822,1530,5219,5
"2021-07-03 00:00:00",NULL,"2021-01-28 23:44:54","2021-08-23 16:19:41","2021-07-09 00:00:00","2022-09-01 00:00:00","2021-07-09 03:00:00","2022-08-23 00:00:00",annual,annual,19597,1724,5220,45
"2020-03-02 02:00:00","2021-08-23 00:00:00","2021-01-28 23:46:34","2021-08-23 23:35:33","2021-03-01 00:00:00","2022-11-23 00:00:00","2021-03-02 02:00:00","2023-11-23 00:00:00",annual,annual,15328,3150,5223,175
NULL,NULL,"2021-01-28 23:46:34","2021-08-24 00:28:10","2021-03-18 00:00:00",NULL,"2021-03-09 02:00:00","2023-08-24 00:00:00",annual,annual,1661,3143,5224,159
NULL,NULL,"2021-01-28 23:44:54","2021-08-24 22:54:28","2021-07-19 00:00:00","2022-08-24 00:00:00","2021-07-15 03:00:00","2023-08-24 00:00:00",annual,annual,1693,1644,5231,36
NULL,"2022-02-27 00:00:00","2021-02-14 10:03:40","2021-08-25 11:07:57","2021-03-01 00:00:00","2022-08-25 00:00:00","2022-02-14 00:00:00","2022-08-25 00:00:00",annual,annual,143655,3363,5237,177
